nd_id,nd_2_id,ca_id,mt_id,cap_trme_leg,cap_trmi_leg
0,2,0,0,4081,4081
0,2,0,1,4081,4081
0,2,0,2,4081,4081
0,2,0,3,4081,4081
0,2,0,4,4081,4081
0,2,0,5,4081,4081
0,2,0,6,4081,4081
0,2,0,7,4081,4081
0,2,0,8,4081,4081
0,2,0,9,4081,4081
0,2,0,10,4081,4081
0,2,0,11,4081,4081
4,0,0,0,100,310
4,0,0,1,100,310
4,0,0,2,100,310
4,0,0,3,100,270
4,0,0,4,100,270
4,0,0,5,100,270
4,0,0,6,80,155
4,0,0,7,80,155
4,0,0,8,80,155
4,0,0,9,100,302
4,0,0,10,100,302
4,0,0,11,100,302
2,3,0,0,2550,2500
2,3,0,1,2550,2500
2,3,0,2,2550,2500
2,3,0,3,1900,2500
2,3,0,4,1900,2500
2,3,0,5,1900,2500
2,3,0,6,1200,1400
2,3,0,7,1200,1400
2,3,0,8,1200,1400
2,3,0,9,1200,3000
2,3,0,10,1200,3000
2,3,0,11,1200,3000
3,4,0,0,3150,995
3,4,0,1,3150,995
3,4,0,2,3150,995
3,4,0,3,2700,995
3,4,0,4,2700,995
3,4,0,5,2700,995
3,4,0,6,2400,870
3,4,0,7,2400,870
3,4,0,8,2400,870
3,4,0,9,3150,995
3,4,0,10,3150,995
3,4,0,11,3150,995
1,0,0,0,1200,769
1,0,0,1,1200,769
1,0,0,2,1200,769
1,0,0,3,1200,804
1,0,0,4,1200,804
1,0,0,5,1200,804
1,0,0,6,1200,850
1,0,0,7,1200,850
1,0,0,8,1200,850
1,0,0,9,1200,800
1,0,0,10,1200,800
1,0,0,11,1200,800
1,2,0,0,4000,1302
1,2,0,1,4000,1302
1,2,0,2,4000,1302
1,2,0,3,4000,1562
1,2,0,4,4000,1562
1,2,0,5,4000,1562
1,2,0,6,4000,1750
1,2,0,7,4000,1750
1,2,0,8,4000,1750
1,2,0,9,4000,1399
1,2,0,10,4000,1399
1,2,0,11,4000,1399
1,3,0,0,1100,3200
1,3,0,1,1100,3200
1,3,0,2,1100,3200
1,3,0,3,1200,3000
1,3,0,4,1200,3000
1,3,0,5,1200,3000
1,3,0,6,1100,3000
1,3,0,7,1100,3000
1,3,0,8,1100,3000
1,3,0,9,1100,3200
1,3,0,10,1100,3200
1,3,0,11,1100,3200
1,4,0,0,3988,1810
1,4,0,1,3988,1810
1,4,0,2,3988,1810
1,4,0,3,2744,1660
1,4,0,4,2744,1660
1,4,0,5,2744,1660
1,4,0,6,2427,1440
1,4,0,7,2427,1440
1,4,0,8,2427,1440
1,4,0,9,3399,1810
1,4,0,10,3399,1810
1,4,0,11,3399,1810
1,5,0,0,1106.975492,1106.975492
1,5,0,1,1106.975492,1106.975492
1,5,0,2,1106.975492,1106.975492
1,5,0,3,1106.975492,1106.975492
1,5,0,4,1106.975492,1106.975492
1,5,0,5,1106.975492,1106.975492
1,5,0,6,1106.975492,1106.975492
1,5,0,7,1106.975492,1106.975492
1,5,0,8,1106.975492,1106.975492
1,5,0,9,1106.975492,1106.975492
1,5,0,10,1106.975492,1106.975492
1,5,0,11,1106.975492,1106.975492
1,8,0,0,39.99557228,39.99557228
1,8,0,1,39.99557228,39.99557228
1,8,0,2,39.99557228,39.99557228
1,8,0,3,39.99557228,39.99557228
1,8,0,4,39.99557228,39.99557228
1,8,0,5,39.99557228,39.99557228
1,8,0,6,39.99557228,39.99557228
1,8,0,7,39.99557228,39.99557228
1,8,0,8,39.99557228,39.99557228
1,8,0,9,39.99557228,39.99557228
1,8,0,10,39.99557228,39.99557228
1,8,0,11,39.99557228,39.99557228
1,9,0,0,154.3491099,154.3491099
1,9,0,1,154.3491099,154.3491099
1,9,0,2,154.3491099,154.3491099
1,9,0,3,154.3491099,154.3491099
1,9,0,4,154.3491099,154.3491099
1,9,0,5,154.3491099,154.3491099
1,9,0,6,154.3491099,154.3491099
1,9,0,7,154.3491099,154.3491099
1,9,0,8,154.3491099,154.3491099
1,9,0,9,154.3491099,154.3491099
1,9,0,10,154.3491099,154.3491099
1,9,0,11,154.3491099,154.3491099
1,10,0,0,121.6766706,121.6766706
1,10,0,1,121.6766706,121.6766706
1,10,0,2,121.6766706,121.6766706
1,10,0,3,121.6766706,121.6766706
1,10,0,4,121.6766706,121.6766706
1,10,0,5,121.6766706,121.6766706
1,10,0,6,121.6766706,121.6766706
1,10,0,7,121.6766706,121.6766706
1,10,0,8,121.6766706,121.6766706
1,10,0,9,121.6766706,121.6766706
1,10,0,10,121.6766706,121.6766706
1,10,0,11,121.6766706,121.6766706
1,11,0,0,247.2965667,247.2965667
1,11,0,1,247.2965667,247.2965667
1,11,0,2,247.2965667,247.2965667
1,11,0,3,247.2965667,247.2965667
1,11,0,4,247.2965667,247.2965667
1,11,0,5,247.2965667,247.2965667
1,11,0,6,247.2965667,247.2965667
1,11,0,7,247.2965667,247.2965667
1,11,0,8,247.2965667,247.2965667
1,11,0,9,247.2965667,247.2965667
1,11,0,10,247.2965667,247.2965667
1,11,0,11,247.2965667,247.2965667
1,20,0,0,331.284404,331.284404
1,20,0,1,331.284404,331.284404
1,20,0,2,331.284404,331.284404
1,20,0,3,331.284404,331.284404
1,20,0,4,331.284404,331.284404
1,20,0,5,331.284404,331.284404
1,20,0,6,331.284404,331.284404
1,20,0,7,331.284404,331.284404
1,20,0,8,331.284404,331.284404
1,20,0,9,331.284404,331.284404
1,20,0,10,331.284404,331.284404
1,20,0,11,331.284404,331.284404
1,23,0,0,385.7548851,385.7548851
1,23,0,1,385.7548851,385.7548851
1,23,0,2,385.7548851,385.7548851
1,23,0,3,385.7548851,385.7548851
1,23,0,4,385.7548851,385.7548851
